# pedestrianID time_activation gate_in gate_out speed
0 1684.0 8 5 1.6463769634344554
1 1781.0 9 3 0.6130953181926564
2 1791.0 9 3 0.6068531947594629
3 1944.0 9 1 0.33691776911292776
4 1971.0 9 1 0.59972534028894
5 1983.0 9 2 1.0163340661763547
6 2011.0 9 5 0.7270215950942187
7 2082.0 8 1 0.5383445338296624
8 2089.0 8 5 1.3672276756696098
9 2144.0 9 5 0.7603077995139443
10 2191.0 8 5 1.2253421462109677
11 2295.0 8 1 0.7545501677243521
12 2324.0 9 1 1.2511320920362947
13 2562.0 9 5 0.8863928610379934
14 2418.0 9 5 0.5543059963055433
15 2443.0 9 5 1.2947782926717075
16 2527.0 2 9 0.9269212802746832
17 2585.0 8 5 1.047523165419927
18 2684.0 9 0 0.8566827241029972
19 2772.0 10 1 0.5757847772042164
20 486.0 0 5 1.635942929076185
21 484.0 9 5 1.1274886935984725
22 557.0 9 5 1.823510168303486
23 581.0 9 5 1.4951214639440134
24 633.0 8 5 1.8638267183189363
25 671.0 9 5 1.3517763383260004
26 1077.0 8 5 1.1466775948702612
27 1346.0 8 5 1.2616788221071071
28 1374.0 9 5 1.48895298871517
29 1465.0 8 5 2.3709099881719586
30 1868.0 1 9 0.6877631753719411
31 1938.0 8 5 1.2431277202317972
32 1981.0 9 5 1.4102622623539993
33 1994.0 9 5 1.4238546858333523
34 2102.0 9 5 0.9465382483878443
35 2123.0 9 5 0.9404195381502298
36 2128.0 9 5 0.93801254826392
37 2136.0 8 2 0.986854988225838
38 2380.0 9 5 1.4420844772593882
39 1074.0 1 10 1.0351082009673986
40 407.0 8 4 0.7657812692700272
41 439.0 9 4 0.7853912135391135
42 447.0 8 5 0.8318148094627754
43 464.0 8 5 0.8804939523996076
44 484.0 9 5 0.9161355479854082
45 508.0 9 5 1.2370215828976154
46 531.0 9 4 0.9374175570175102
47 537.0 9 2 0.7588169356261256
48 543.0 8 5 1.019579961744658
49 531.0 9 1 0.3741666581320223
50 586.0 9 5 1.9520115685965143
51 674.0 2 3 2.147603334612094
52 602.0 9 5 0.8816176715483829
53 613.0 9 4 1.2198466004876654
54 637.0 9 5 1.2232805753017306
55 648.0 8 5 0.9405658910706988
56 692.0 8 5 1.3396470136760799
57 706.0 9 2 0.7960058597179528
58 885.0 1 0 0.46861668345790264
59 839.0 9 5 1.4079616631349299
60 849.0 8 1 0.728422531533666
61 842.0 8 5 0.8856277300777953
62 869.0 1 5 0.9668899039506295
63 848.0 9 5 1.5433644087875835
64 926.0 8 4 0.7977216594011705
65 946.0 2 5 0.6391594941163624
66 938.0 8 5 0.7656692125149913
67 1078.0 2 7 0.6502152004899002
68 1055.0 9 5 1.1772482279181335
69 1075.0 10 2 0.4545916732074289
70 1100.0 0 5 0.8110005787572817
71 1104.0 0 10 0.8980686041858336
72 1217.0 8 5 0.22230527108242903
73 1320.0 1 4 0.8121227145137715
