# pedestrianID time_activation gate_in gate_out speed
0 2273.0 8 5 1.4178855460704916
1 2401.0 9 3 1.1300441653149171
2 2411.0 9 3 1.120552898112908
3 2564.0 9 1 0.5541427039171928
4 2591.0 9 1 0.6002414550396189
5 2603.0 9 2 1.019022196179783
6 2631.0 9 5 1.3001648635359344
7 2702.0 8 1 0.9982902540041267
8 2685.0 8 5 1.2546257576397915
9 2764.0 9 5 1.3844637991949755
10 2811.0 8 5 1.2253421462109677
11 2915.0 8 1 1.2506522166567613
12 2907.0 9 1 1.1754619091616199
13 3182.0 9 5 0.9606558087359212
14 3038.0 9 5 0.9477957796409892
15 3033.0 9 5 1.2204169157969125
16 3147.0 2 9 0.9281498418664985
17 3176.0 8 5 0.9630660169693406
18 3304.0 9 0 0.8562832783619339
19 3363.0 10 1 0.9864816526704481
20 1106.0 0 5 1.635942929076185
21 1104.0 9 5 1.1274886935984725
22 1177.0 9 5 1.823510168303486
23 1201.0 9 5 1.4951214639440134
24 1253.0 8 5 1.8638267183189363
25 1291.0 9 5 1.3517763383260004
26 1697.0 8 5 1.1466775948702612
27 1966.0 8 5 1.2616788221071071
28 1994.0 9 5 1.48895298871517
29 2085.0 8 5 2.3709099881719586
30 2283.0 1 9 0.8419349264405788
31 2558.0 8 5 1.2431277202317972
32 2601.0 9 5 1.4102622623539993
33 2614.0 9 5 1.4238546858333523
34 2722.0 9 5 0.9465382483878443
35 2743.0 9 5 0.9404195381502298
36 2748.0 9 5 0.93801254826392
37 2756.0 8 2 0.986854988225838
38 3000.0 9 5 1.4420844772593882
39 1694.0 1 10 1.0351082009673986
40 992.0 8 4 1.0318198923427064
41 1059.0 9 4 1.2596564452361791
42 1048.0 8 5 0.9464099455328234
43 1052.0 8 5 0.823109457912515
44 1104.0 9 5 1.1499013857027307
45 1128.0 9 5 1.2370215828976154
46 1150.0 9 4 1.376451638599161
47 1128.0 9 2 0.9946752818858983
48 1130.0 8 5 0.9341327274493649
49 1100.0 9 1 0.5733695019728576
50 1198.0 9 5 1.8891744541542068
51 1294.0 2 3 2.147603334612094
52 1215.0 9 5 1.1788953218112443
53 1214.0 9 4 2.0297489528516204
54 1257.0 9 5 1.2232805753017306
55 1243.0 8 5 0.8831739160054966
56 1312.0 8 5 1.3458253622159548
57 1326.0 9 2 0.989968084358191
58 1505.0 1 0 0.6810309757077122
59 1453.0 9 5 1.3823146258536458
60 1469.0 8 1 0.7291681021903023
61 1429.0 8 5 0.8222142529994916
62 1489.0 1 5 0.9686080958888178
63 1432.0 9 5 1.391315349907054
64 1546.0 8 4 0.9495344721735821
65 1566.0 2 5 0.6394981366747288
66 1558.0 8 5 1.133600083924926
67 1698.0 2 7 1.04933171781202
68 1675.0 9 5 1.1804913359840237
69 1677.0 10 2 0.6324593860991179
70 1720.0 0 5 0.8120035662435242
71 1700.0 0 10 0.8271996718982753
72 1837.0 8 5 0.3720028774399336
73 1940.0 1 4 0.9423211437983641
74 1990.0 8 5 1.2649748973285486
75 2011.0 2 5 0.8354892935750688
76 1978.0 8 5 1.2466329069620854
77 2057.0 8 5 1.1005089026191468
78 2042.0 1 0 0.4220221710265818
79 2102.0 9 1 0.7194698715938466
80 2115.0 9 0 0.38118757858157354
81 2183.0 9 5 1.1109997024599136
82 2266.0 9 5 1.3426354740971083
83 2273.0 8 3 0.5667781035014129
84 2568.0 5 9 1.2765863821778625
85 2476.0 10 0 1.33693193815759
86 2591.0 9 1 0.4890761478221504
87 3067.0 9 1 0.9292045371653357
88 2698.0 9 5 1.6928729479251337
89 2751.0 8 5 1.1106454897246962
90 2817.0 2 9 0.8950709766333536
91 2881.0 9 2 0.7369369685513615
92 3078.0 9 1 0.8590732253953443
93 3209.0 8 2 0.838104487884212
94 3382.0 8 2 1.0556397886175262
95 3502.0 6 4 0.8285515058523085
96 1400.0 0 5 0.7899993607085066
97 2264.0 1 5 0.49239287263116116
98 2297.0 4 2 0.9492170692198851
99 1218.0 8 5 0.9918534026238643
100 1333.0 1 7 0.8813605476263477
101 1230.0 2 4 0.5450166087768619
102 1319.0 5 2 1.029622409153336
103 1592.0 2 9 0.9139593351406453
104 1522.0 8 5 0.9257150745390016
105 1518.0 0 1 0.9115932552204581
106 1589.0 1 7 1.120990416524039
107 1442.0 1 0 0.43549434001267556
108 1642.0 10 1 0.5228379393763226
109 1725.0 2 7 0.838612954375708
110 1682.0 1 4 0.9305698843832182
111 1741.0 1 8 0.7204519366519759
112 1824.0 1 9 0.6008798753532464
113 1890.0 9 5 0.8435291708271384
114 2005.0 1 9 0.9204628280911205
115 1805.0 1 8 0.750397170368932
116 2041.0 1 5 1.0919844320463474
117 1756.0 1 9 0.7666094851894328
118 2342.0 2 9 0.8737279272597142
119 2144.0 4 7 1.317229820663012
120 2087.0 9 1 0.5457044017692283
121 2317.0 0 5 0.6788436948137542
122 2441.0 1 5 0.6344926068664194
123 2284.0 1 9 0.7867137687434305
124 2451.0 1 5 1.3340848542146646
125 2565.0 9 1 0.4799467386482582
126 2530.0 9 4 0.7716517749010268
127 2480.0 9 1 0.42468048730401636
128 2947.0 9 1 0.8751891246872748
129 3229.0 8 3 0.9385869965941361
130 3455.0 1 8 1.5482885222134186
131 1831.0 8 2 0.49325727048982176
132 1952.0 1 9 0.4087429441578301
133 798.0 9 1 0.7058668093502107
134 1122.0 1 5 0.4791917311754395
135 1268.0 2 5 0.5221988183765539
136 1306.0 9 1 0.4511351880495989
137 1127.0 2 5 0.44256396935504133
138 1419.0 10 1 0.784856851257239
139 1093.0 2 9 0.468766497151138
140 1349.0 1 8 1.336462868270177
141 1264.0 1 7 0.6619117326006384
142 1473.0 1 4 1.2725194893074623
143 1185.0 1 5 0.49815526169878244
144 1421.0 1 7 0.8816546906891668
145 1538.0 1 8 0.731200565471834
146 1611.0 2 5 0.4789458388296642
147 2007.0 1 8 0.6610165235834096
148 3083.0 8 1 0.6968322802152234
149 3118.0 0 1 0.4867349872691593
150 998.0 1 4 0.8312656000905435
151 967.0 1 0 0.7870949349061088
152 1708.0 1 10 0.8172997349871944
153 1503.0 0 5 0.7570094525734251
154 1721.0 2 8 0.7809012906446503
155 1524.0 4 8 0.5279099506359962
156 1615.0 1 5 0.5471247105877898
157 1574.0 1 9 0.47287736437040295
158 1806.0 1 5 0.8847011414459955
159 1684.0 1 10 0.441176440335026
160 1818.0 1 5 0.914746191388246
161 1872.0 1 7 0.6977762293337276
162 1947.0 1 10 1.1408613426991179
163 1766.0 0 5 0.4356698159014318
164 2070.0 1 5 0.8690373037103866
165 2249.0 0 1 0.6485061014240499
166 2317.0 10 1 0.7304339365175231
167 2262.0 0 8 0.5096778812117664
168 2175.0 1 9 0.6467821488614061
169 2339.0 2 10 1.2670163332769466
170 2363.0 1 9 0.9231365252554145
171 2554.0 2 10 0.8189603394196704
172 2650.0 2 9 0.6840891737235583
173 2272.0 3 0 0.48874996494886663
174 2693.0 2 10 0.8823360585547143
175 3045.0 9 1 0.9117964899791506
176 2733.0 3 9 0.771243423109404
177 2934.0 2 9 0.9302930013799109
178 2952.0 9 1 0.7867431377265507
179 3212.0 8 1 0.7239507471527994
180 3346.0 9 1 0.952288174645259
181 3208.0 2 5 0.47039480877630285
182 3232.0 1 7 1.0200934643847759
183 3473.0 2 9 1.4322720055900846
184 3424.0 8 4 0.8256527963947844
185 3375.0 1 8 0.8501290327776904
186 3438.0 1 7 1.671997671682613
187 942.0 5 3 0.6345141480799933
188 610.0 6 0 1.2117388437531278
189 937.0 5 3 0.755536842075478
190 732.0 4 2 0.4324501280752167
191 840.0 8 5 1.0717400959697647
192 929.0 5 2 0.7361704178263497
193 888.0 7 5 0.96754834441501
194 875.0 8 5 1.1617805120227713
195 975.0 1 9 0.6626555792472352
196 875.0 8 5 1.1231893085488203
197 933.0 4 2 0.6490676196796052
198 358.0 0 5 0.41552760136905714
199 128.0 8 4 0.3191615838754789
200 935.0 8 5 1.3298549761715326
201 752.0 8 2 0.3840742249651359
202 1086.0 1 10 0.5104730705817082
203 886.0 9 0 0.996324136842149
204 824.0 9 1 0.7024543466234744
205 917.0 0 1 0.7587214337374932
206 878.0 10 1 0.825621165117478
207 773.0 8 2 1.0136970182420268
208 43.0 2 9 0.37377460821155445
209 592.0 1 9 0.552832008755845
210 971.0 9 5 1.434954512890262
211 480.0 1 5 0.8875860771516267
212 927.0 8 4 2.6426590558286644
213 968.0 4 2 0.8241895790585215
214 774.0 0 1 0.5408417184621882
215 628.0 1 5 0.6308850402221462
216 401.0 0 4 0.6183336373405545
217 769.0 1 5 0.9562092831673814
218 1033.0 1 5 1.1661029285420192
219 491.0 0 5 0.4524416106452961
220 892.0 0 1 0.7859551069809305
221 819.0 0 1 0.5478820750153034
222 747.0 1 5 0.7509314318782374
223 916.0 0 1 0.6678275250732808
224 1019.0 9 4 1.3329374913325494
225 899.0 0 2 0.8055340008013824
226 657.0 0 5 0.5945293748274217
227 903.0 0 1 0.8404211942696451
228 871.0 2 5 0.3511457573499751
229 879.0 1 5 0.8641794635172491
230 1045.0 1 5 1.4468993465806035
231 1116.0 8 2 0.7555308174756303
232 404.0 5 0 0.5811963782024422
233 0.0 1 5 0.17421533687425134
234 1210.0 9 5 0.7935228451776052
235 1017.0 4 8 0.4331640796245298
236 1137.0 0 8 0.7358294051591087
237 1182.0 9 4 0.4713692212763965
238 1421.0 0 8 0.999417725499016
239 1554.0 1 5 1.1969893140959622
240 1473.0 1 7 1.1973968417065382
241 1571.0 1 8 1.1909015880547447
